ticket_number,requestor_fname,requestor_lname,owner_group,issue_category,ticket_type,severity,days_open,statisfaction_score,ticket status,created_date
728-519150-3355-2-K,Arni,Lefever,Software,Access/Login,Request,1 - Low,21,0 - Unknown,Open,9/22/2020
380-939270-1111-1-P,Naoma,Winslade,Security and Governance,Access/Login,Request,1 - Low,10,0 - Unknown,Open,6/29/2020
065-564467-9139-8-B,Darelle,Aizic,Security and Governance,Access/Login,Request,1 - Low,8,3 - Highly Satisfied,Resolved,5/6/2020
250-378578-9916-3-J,Dorotea,Gaymer,Security and Governance,Access/Login,Request,2 - Medium,18,0 - Unknown,Resolved,5/5/2020
205-866153-6208-5-N,Viola,Barfoot,Security and Governance,Access/Login,Request,0 - Unassigned,18,2 - Satisfied,Open,10/3/2020
263-387073-8151-6-S,Miltie,Ealles,Security and Governance,Access/Login,Request,1 - Low,17,0 - Unknown,Open,6/7/2020
510-992194-8243-6-I,Barnaby,Gifford,Software,Access/Login,Request,3 - High,22,3 - Highly Satisfied,Open,8/26/2020
434-887199-5080-8-S,Regan,Girvan,Software,Access/Login,Request,2 - Medium,20,2 - Satisfied,Open,7/5/2020
557-347162-8889-9-M,Marleen,Baytrop,Architecture,Hardware,Request,2 - Medium,21,0 - Unknown,Open,6/12/2020
399-965567-1951-2-P,Adlai,Stilly,Software,Access/Login,Issue,3 - High,29,3 - Highly Satisfied,Resolved,5/8/2020
868-817257-1615-4-G,Victoir,Folshom,Security and Governance,Access/Login,Request,1 - Low,33,0 - Unknown,Resolved,9/3/2020
354-795846-2148-3-W,Pearle,Jaime,Software,Software,Request,3 - High,1,1 - Unsatisfied,Open,7/4/2020
595-994385-7261-0-G,Granville,Iskov,Architecture,Systems,Request,0 - Unassigned,30,0 - Unknown,Open,6/4/2020
129-039484-9492-9-P,Jerry,Clausen-Thue,Networking,Access/Login,Issue,3 - High,27,2 - Satisfied,Open,7/3/2020
400-297490-2985-2-K,Carolyn,Sherbourne,Software,Software,Request,2 - Medium,32,2 - Satisfied,Open,6/3/2020
887-963661-0257-8-L,Concettina,Studdert,Architecture,Hardware,Request,0 - Unassigned,27,0 - Unknown,Resolved,8/25/2020
794-574664-4086-0-R,Eddie,Amiranda,Software,Access/Login,Issue,1 - Low,37,2 - Satisfied,Open,8/5/2020
101-623876-8573-7-P,Zachary,Block,Hardware,Hardware,Request,0 - Unassigned,29,1 - Unsatisfied,Open,8/24/2020
916-450375-4304-2-Y,Kylila,O'Lenechan,Security and Governance,Access/Login,Request,2 - Medium,34,0 - Unknown,Open,7/26/2020
486-128496-3755-6-G,Valentine,Galea,Networking,Systems,Request,0 - Unassigned,2,1 - Unsatisfied,Waiting for Requestor Feedback,9/13/2020
450-596458-1082-8-X,Salim,Renneke,Networking,Hardware,Request,3 - High,31,0 - Unknown,Waiting for Requestor Feedback,4/6/2020
674-860649-9491-8-M,Izabel,Creswell,Hardware,Systems,Request,1 - Low,18,2 - Satisfied,Resolved,7/14/2020
448-936714-7148-2-D,Boyce,Matteacci,Architecture,Hardware,Issue,3 - High,25,3 - Highly Satisfied,Open,5/26/2020
283-770632-7949-9-S,Minny,Shawl,Security and Governance,Access/Login,Request,0 - Unassigned,1,3 - Highly Satisfied,Open,6/25/2020
116-063261-4337-3-D,Helaina,Scrannage,Hardware,Hardware,Request,0 - Unassigned,21,2 - Satisfied,Open,7/7/2020
438-373033-1792-5-E,Marlow,Attenburrow,Security and Governance,Access/Login,Issue,2 - Medium,17,2 - Satisfied,Resolved,10/27/2020
546-917758-0117-0-N,Roderich,Esmond,Security and Governance,Access/Login,Issue,2 - Medium,30,0 - Unknown,Open,7/22/2020
456-946591-5022-7-P,Dorthy,Barge,Software,Software,Issue,0 - Unassigned,28,2 - Satisfied,Waiting for Requestor Feedback,3/14/2020
007-179007-6828-6-D,Cross,Syne,Networking,Hardware,Request,3 - High,22,0 - Unknown,Open,10/2/2020
366-932146-0545-2-Q,Lauren,Patershall,Hardware,Systems,Issue,1 - Low,26,0 - Unknown,Open,10/30/2020
934-783631-7958-7-G,Rowney,Vise,Networking,Hardware,Issue,3 - High,11,2 - Satisfied,Open,9/24/2020
628-088765-4534-1-V,Vita,Greber,Software,Access/Login,Issue,2 - Medium,22,2 - Satisfied,Open,5/9/2020
848-756752-4045-4-R,Nichol,Scampion,Security and Governance,Access/Login,Issue,0 - Unassigned,15,1 - Unsatisfied,Open,6/14/2020
936-403098-2674-3-X,Osbourne,Dyte,Networking,Systems,Issue,0 - Unassigned,20,0 - Unknown,Open,9/11/2020
415-778614-1612-9-F,Kandy,Herries,Hardware,Systems,Issue,0 - Unassigned,19,3 - Highly Satisfied,Open,10/4/2020
366-569433-4410-2-O,Deeanne,Allflatt,Architecture,Systems,Issue,2 - Medium,27,0 - Unknown,Open,10/19/2020
711-032986-8121-0-R,Melisent,Shird,Software,Access/Login,Request,0 - Unassigned,5,0 - Unknown,Open,3/12/2020
368-070803-1662-9-E,Gaye,Ickovici,Software,Software,Issue,3 - High,10,2 - Satisfied,Open,8/27/2020
091-760630-1437-5-Q,Valma,Lilywhite,Security and Governance,Access/Login,Issue,3 - High,25,3 - Highly Satisfied,Open,10/7/2020
256-842655-2415-2-N,Rory,Rance,Architecture,Hardware,Request,0 - Unassigned,36,2 - Satisfied,Open,7/19/2020
879-370032-0141-1-S,Elena,Bogges,Networking,Systems,Request,0 - Unassigned,17,0 - Unknown,Open,3/17/2020
936-282666-4438-9-O,Dionis,Kinch,Architecture,Hardware,Issue,3 - High,1,2 - Satisfied,Waiting for Requestor Feedback,7/4/2020
