student id,Gender,scores submitted,SAT Reading Writing Range,SAT Math Range,ACT Composite Range,High School Ranking,GPA Range,Out of State Flag,Housing,Non-Traditional Student,Transfer Student,Full-Time
046-46-0144,Male,SAT,500-599,400-499,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
571-27-9819,Female,SAT,700-800,500-599,,Top Quarter,2.0-2.49,No,College Owned/Operated,No,No,No
080-49-9674,Female,ACT,,,18-23,,3.00-3.24,Yes,College Owned/Operated,No,No,Yes
956-46-6295,Female,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
784-70-5844,Female,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
235-28-6286,Female,SAT,600-699,500-599,,Top Half,1.0-1.99,No,Off-Campus,No,No,No
054-24-9264,Female,SAT,500-599,400-499,,,3.75+,Yes,College Owned/Operated,No,No,Yes
069-15-2358,Female,SAT,400-499,400-499,,,3.75+,Yes,College Owned/Operated,No,No,Yes
612-61-6389,Female,ACT,,,18-23,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
647-69-3770,Female,ACT,,,18-23,Top 10,3.00-3.24,No,College Owned/Operated,No,No,Yes
836-80-9384,Female,SAT,500-599,400-499,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
509-88-8147,Female,ACT,,,24-29,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,No
539-95-7863,Male,ACT,,,24-29,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
995-90-5297,Male,SAT,600-699,600-699,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
961-89-6745,Male,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,Yes,No,Yes
629-45-6324,Male,ACT,,,18-23,,2.0-2.49,No,College Owned/Operated,No,No,Yes
836-53-8960,Trans,ACT,,,18-23,,2.50-2.99,Yes,College Owned/Operated,No,Yes,Yes
985-10-9837,Male,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
234-78-7247,Female,SAT,500-599,600-699,,,1.0-1.99,No,Off-Campus,No,No,Yes
422-17-5336,Male,ACT,,,24-29,Top 10,2.50-2.99,No,College Owned/Operated,No,No,Yes
750-27-6180,Female,SAT,600-699,500-599,,Bottom Quarter,3.00-3.24,No,College Owned/Operated,No,No,No
534-58-4336,Male,ACT,,,18-23,Top Half,2.0-2.49,No,Off-Campus,No,No,Yes
286-47-8946,Female,ACT,,,24-29,,2.0-2.49,No,College Owned/Operated,Yes,No,Yes
058-14-5382,Male,ACT,,,24-29,,2.0-2.49,No,College Owned/Operated,No,No,No
612-24-4648,Female,ACT,,,18-23,,3.25-3.49,No,College Owned/Operated,No,No,Yes
119-59-3346,Male,ACT,,,24-29,Bottom Quarter,3.00-3.24,Yes,College Owned/Operated,No,No,No
346-52-0881,Male,ACT,,,24-29,Top Quarter,3.25-3.49,No,College Owned/Operated,Yes,No,No
161-22-2539,Male,ACT,,,18-23,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,Yes
350-92-4057,Male,ACT,,,18-23,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
798-76-1891,Male,ACT,,,24-29,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
332-70-3043,Male,SAT,500-599,500-599,,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
407-12-0295,Female,ACT,,,18-23,Bottom Quarter,2.0-2.49,No,College Owned/Operated,No,No,Yes
883-51-4456,Female,ACT,,,12-17,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
665-76-5828,Female,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,Yes
992-49-3101,Male,SAT,500-599,300-399,,Top Half,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
289-56-7891,Male,ACT,,,30-36,,2.0-2.49,No,College Owned/Operated,No,No,Yes
403-25-2232,Female,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,Yes
431-50-5091,Male,SAT,500-599,600-699,,Top Half,3.00-3.24,No,Off-Campus,No,No,No
200-62-9991,Female,SAT,500-599,500-599,,Top 10,3.00-3.24,No,College Owned/Operated,No,No,Yes
056-95-9970,Female,ACT,,,12-17,,1.0-1.99,No,Off-Campus,No,No,Yes
137-08-0995,Male,ACT,,,24-29,Top Half,1.0-1.99,Yes,College Owned/Operated,No,No,No
582-28-3485,Female,ACT,,,18-23,,3.50-3.74,No,College Owned/Operated,No,Yes,Yes
099-14-8255,Male,SAT,500-599,600-699,,,3.75+,No,College Owned/Operated,No,No,Yes
766-17-1784,Male,ACT,,,18-23,Top Quarter,3.00-3.24,No,Off-Campus,No,No,Yes
751-31-7879,Female,SAT,500-599,600-699,,,3.75+,No,College Owned/Operated,No,No,Yes
042-80-8864,Male,SAT,700-800,500-599,,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
545-90-6619,Female,SAT,600-699,600-699,,,3.25-3.49,No,College Owned/Operated,Yes,No,Yes
387-46-1181,Male,ACT,,,18-23,,3.50-3.74,Yes,Off-Campus,No,No,Yes
797-95-1615,Male,SAT,500-599,500-599,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
063-94-5787,Female,ACT,,,30-36,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
087-69-1661,Male,ACT,,,24-29,,2.50-2.99,No,College Owned/Operated,No,No,Yes
029-73-6936,Female,ACT,,,18-23,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
142-06-2365,Female,SAT,500-599,500-599,,,3.00-3.24,Yes,College Owned/Operated,Yes,No,Yes
908-15-8566,Male,SAT,500-599,400-499,,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
660-80-3500,Female,SAT,500-599,500-599,,,2.50-2.99,No,College Owned/Operated,No,No,Yes
480-85-4907,Female,ACT,,,18-23,Top Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
592-74-8020,Male,SAT,500-599,400-499,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
040-69-9565,Male,ACT,,,18-23,,3.25-3.49,Yes,College Owned/Operated,No,Yes,Yes
208-40-1302,Male,ACT,,,24-29,Bottom Half,1.0-1.99,Yes,College Owned/Operated,No,No,No
197-07-3106,Female,SAT,500-599,500-599,,Top Half,3.50-3.74,No,College Owned/Operated,Yes,No,No
598-37-6498,Female,ACT,,,18-23,,3.25-3.49,No,College Owned/Operated,No,No,Yes
233-27-2536,Female,SAT,500-599,500-599,,,3.00-3.24,Yes,College Owned/Operated,No,No,No
511-15-7389,Male,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
375-02-8981,Female,ACT,,,18-23,,2.0-2.49,No,College Owned/Operated,No,No,No
858-12-6981,Female,SAT,500-599,500-599,,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,No
324-45-6240,Male,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
001-88-6524,Male,ACT,,,12-17,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,No
496-39-0228,Male,ACT,,,12-17,,2.50-2.99,No,College Owned/Operated,No,No,Yes
789-03-4875,Male,SAT,600-699,500-599,,Top Half,3.75+,No,College Owned/Operated,No,Yes,Yes
138-15-4951,Male,ACT,,,30-36,,3.00-3.24,No,Off-Campus,No,No,No
833-77-5736,Male,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,No
294-49-3296,Female,ACT,,,18-23,Top Half,3.00-3.24,No,College Owned/Operated,No,Yes,Yes
574-97-1089,Male,ACT,,,24-29,,2.50-2.99,No,College Owned/Operated,No,No,No
759-27-3688,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
285-92-8041,Female,ACT,,,18-23,,1.0-1.99,Yes,College Owned/Operated,No,No,No
406-80-1848,Trans,SAT,400-499,600-699,,Top Half,3.25-3.49,No,College Owned/Operated,No,No,No
766-99-2206,Female,ACT,,,12-17,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
